Name,Year,Duration,Rating,Votes,Description,language
Ram Lakhan,1989,2h 54m,6.7,2.9K,"Ram Lakhan is the story of two brothers who part ways due to their ideological differences, but how they come to each other's rescue as the story unfolds.",Hindi
Joshilaay,1989,1h 47m,5.6,317,"Dara and Karan, the sons of two of the victims of dacoit Jogi Thakur, wait many years to exact their revenge. When the Thakur's colleague Raja Singh cheats him and runs away with his loot, Jogi is arrested and sentenced for life imprisonment. Years later Jogi escapes from the prison to get hold of Raja and take back his booty, but finds his face on all the posters in the village to find him dead or alive with a reward of fifty thousand rupees. When Karan gets to know Jogi has escaped he goes looking for him. Dara also join hands with Karan to even the score with the dreaded dacoit.",Hindi
Vardi,1989,2h 41m,4.5,233,Inspector Verma and Havaldar Bhagwan Singh arrests Lalchand; with Bhagwan Singh loses his life in the process leaving an only son Ajay to be brought up by Verma and his wife. Years later Ajay is now a police inspector like his dad and Verma is the police commissioner and both are on the look-out for Lalchand who has bigger and better plans to destroy India.,Hindi
Guru,1989,2h 54m,5.6,172,"A young man wants to join the police force. When he fails, in frustration he joins a smuggling gang instead.",Hindi
Zalzala,1988,2h 49m,6.3,107,"Treasure hidden in an abandoned Shiva temple attracts both good and evil characters to it, but can they retrieve the priceless gold and jewels before the earthquake (Zalzala) hits?",Hindi
Ram-Avtar,1988,2h 50m,4.6,262,Ram and Avtar are both childhood best friends. The difference between the two friends is that Ram would willingly make priceless sacrifice for his friend; the time when both are separated is when Ram goes abroad to further his studies. In the mean while Avtar takes up employment in an organization run by Sangeeta. Avtar is romantically attracted to Sangeeta but Sangeeta falls in love with Ram; when Ram gets to know that Avtar is in love with Sangeeta he decides to sacrifice his love for his friend sake by getting Avtar married to Sangeeta. But one of Sangeeta's enemies Gundappaswami is willing to expose Ram and Sangeeta's relationship to Avtar.,Hindi
Commando,1988,2h 29m,4.5,219,Chander joins the army as a Commando but has to deal with the corrupt officials who deal with international criminals.,Hindi
Dariya Dil,1988,2h 26m,4.7,239,"Two sons are manipulated by their wives, driven by their desire to inherit their father's fortune at any cost, while the third child remains devoted and lovingly stands by his parent's side, prioritizing their bond over wealth and greed.",Hindi
Aakhri Adaalat,1988,2h 28m,5.5,113,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,Hindi
Sone Pe Suhaaga,1988,2h 43m,4.1,124,A typical Hindi family drama. Paresh Rawal plays a crooked police officer who is the main cause of separation of the family of an honest police officer played by Navin nischol.,Hindi
Jeete Hain Shaan Se,1988,18,4.8,163,"Johny, Govinda, and Iqbal Ali are three close friends who live in a small community in Bombay. The threesome get together to help each other and other needy people in the community, and hence get in the bad books of a local gangster who calls himself DK. Tragedy strikes Govinda, when his mom passes away. At the time of the funeral, Govinda is re-united with his dad, Advocate Verma, who has been missing for years. Then a police inspector gets Johny to meet his biological mother, Mary. The three friends rejoice over this good fortune. Then Johny finds out that Advocate Verma was behind the atrocities that were inflicted on his mom years ago, and he goes there to confront Verma, only to come against an enraged Govinda, who cannot believe his father is capable of committing any atrocities against anyone. It is now up to Iqbal to find a solution to end the enmity between Govinda and Johny, before DK takes advantage of this situation.",Hindi
Guru Sishyan,1988,2h 19m,7.1,473,"On their release from prison, two criminals join forces to prove the innocence of a wrongfully convicted fellow prisoner and in the process, also learn the truth about their own missing parents.",Hindi
Lathi,1988,,6.3,405,,Hindi
Gangaa Jamunaa Saraswathi,1988,3h 7m,4.6,696,"Gangaa Jamunaa and Saraswathi the most pious rivers, create a unique holy merger, popularly known as ""Sangam"". Likewise the characters of our story Gangaa Jamunaa and Saraswathi desire to meet and merge in love of each other. Gangaa Jamunaa begin to love each other and pledge to become one, Saraswati silently loves Gangaa, and dedicates her life to him. However there are many, who would like to separate the happy lovers. There is Hansraj, who does it, and with the result Jamuna separates from Gangaa. Jamuna reaches Shanker's home, Shanker who already loved her becomes extremely happy finding Jamuna in his home. In the meantime Saraswati was about to come closer to Ganga. When Hansraj, who had earlier swindled the property of Ganga's father by illegal means wanted to get rid of the rightful owner Ganga, he got Ganga shot. Ganga was badly wounded and there was no hope of his survival.",Hindi
Yateem,1988,2h 53m,6.4,261,"When Inspector Yadav (Kulbhushan Kharbanda) shoots down a criminal couple in the line of duty, his heart goes out to their orphaned baby son Krishna. He adopts the child, who grows up with Yadav's own daughter, Gauri (Farha). As they grow up, Krishna (Sunny Deol) and Gauri fall in love - but an obstacle is looming in their path in the form of Yadav's young second wife (Sujata Mehta), who is attracted to the handsome Krishna, and in her jealousy proceeds to do all she can to destroy the young couple's chances of happiness.",Hindi
Tezaab,1988,2h 53m,6.9,2.5K,"From a very early age Mahesh Deshmukh has dreams of serving his country; his encouragement and dreams multiplies when his parents are killed by a gang of robbers who plan to loot the bank they are employed in. He then joins the Indian armed forces whereby he excel in the services he honestly provide to his country. During his college days he gets to meet his fellow collegian, Mohini who wholeheartedly love him and after placing a bet with his friends over her he then began to love her whereby he manages to convince her of his love. Mohini's father Shyamlal is an alcoholic and wants her to dance and take up prostitution as her profession so that she can be able to provide money for his daily share of alcohol. This does not anger well with Mahesh who decides to put a stop to this only to find himself at loggerheads with Shyamlal who takes the help of a gangster, Lotiya Pathan to frame Mahesh, gets him arrested, charged and outcast by law from the city of Bombay for a period of a year. This then transform the simple-minded lad who has dreams for his country into the city's most dreaded gangster, Munna whose only motive in life is revenge.",Hindi
Kodiparakkudu,1988,2h 23m,5.6,127,"A mafia leader tries to kill policeman Sivagiri, who took down his illegal businesses, with the help of a lookalike. Later, Sivagiri discovers that the leader is responsible for his father's death.",Hindi
Rolling in Money,1988,2h 19m,6.8,415,"A slum dweller discovers that his grandfather has left a property of 330 billion rupees for him, but he can own it only if he is able to spend 30 billions in 30 days.",Hindi
Dayavan,1988,2h 53m,6.4,641,"The story of Dayavan, a benevolent gangster who dedicates his life to helping those less fortunate than himself.",Hindi
Hero Hiralal,1988,2h 26m,6.1,309,"Hiralal, a rickshaw driver, falls in love with a starlet, Roopa. He follows her to Bombay with the intention of marrying her. But her family forces her to reject him and concentrate on her career.",Hindi
Biwi Ho To Aisi,1988,2h 29m,5.6,980,"Family drama that revolves around the lead pair, a married couple played by Rekha and Farooq Shaikh. It's about how the character Shalu overcomes all of the obstacles in her married life to win over the acceptance of her domineering mother-in-law Kamla.",Hindi
Khoon Bhari Maang,1988,2h 52m,6.6,1.2K,"A man marries a rich widow for her money and tries to murder her but she survives, gets a new face thanks to plastic surgery, and returns for revenge.",Hindi
Vijay,1988,2h 52m,5.4,397,Vijay is a story about people that are bound by relationships of love and friendship and how they become foes and take up weapons against each other.,Hindi
Waqt Ki Awaz,1988,2h 36m,5.3,153,"Wealthy Lata I. Prasad refuses to obey her widower father's instructions to get married to equally wealthy Rajan, the second son of Sikanker Lal Thakkar, her dad's business partner. She runs away from home, and shortly thereafter her father locates her living with a truck-driver, Vishwa Pratap, and his pretty sister, Lakshmi. She refuses to return home, and insists on marrying Vishwa. She will soon regret her decision when she finds out that Vishwa has been arrested for killing a male named Billa, and may either spend his life behind bars or be hanged.",Hindi
Ghar Ghar Ki Kahani,1988,2h 35m,5.0,253,"Dhanraj (Kader Khan) is a mild-mannered man who is married to a wealthy, petty-minded, and controlling wife (Shashikala). Dhanraj has two sons and a daughter. The elder son Ram (Rishi Kapoor) is married to Seeta (Jaya Pradha); the younger son, Amar (Govinda) is in love with Asha (Farha); and the daughter Uma (Aruna Irani) is married to Lallu Ram (Ashok Saraf). Uma prefers to live with her mother instead of her husband's residence. Mrs. Dhanraj wants Amar to marry a very rich girl so that she can accumulate more wealth through a large dowry. Ram finds that his brother Amar and his wife Seeta are very close, and starts suspecting them of having an affair with each other, he makes observations but is not ready to confront anyone. Ram's suspicions are still not laid to rest even when Amar marries Asha. Ram starts to drink and ends up getting friendly with a childhood friend, Deepa (Anita Raaj).",Hindi
Hatya,1988,2h 31m,6.9,486,"After the deaths of his wife Sheila and child Raja, Sagar takes to drinking as well as singing and dancing at weddings and special occasions. Intoxicated heavily after one such event, he comes across a young male child lying in a garbage can and takes him home. He finds out that the child has been deaf-mute since birth, and he decides to adopt him and name him Raja. Sagar's life is turned upside-down when wealthy businessman Kailash Nath files a police complaint alleging that Raja is his grandson, and Sagar might have abducted and killed Raja's mom. Tortured and held in a cell, Sagar does not know that Raja's life is in danger by killer(s) who believe Raja saw them commit a murder.",Hindi
Salaam Bombay!,1988,1h 49m,7.9,10K,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.",Hindi
Kabzaa,1988,2h 23m,6.0,239,"Ranjit Verma is lawyer to criminal Veljibhai who gets involved with Ranjit's brother, Ravi. Veljibhai, with the help of Ravi, tries to steal the property of Ustad Ali.",Hindi
Pestonjee,1988,2h 5m,7.3,269,Piroj and Pesi are best friends. They both meet the same girl for marriage but Pesi ends up marrying her. Later Piroj finds out that Pesi is having an affair. Piroj confronts Pesi but realizes things are complicated.,Hindi
Khatron Ke Khiladi,1988,2h 36m,4.7,238,"Honest truck driver Balwant watch helplessly as the owners of the trucking company he works for mauled his brother, Jaswant to death. When he lodges a complaint with the police the inspector instead arrest him for this crime; the trucking company owners then burn his house killing his pregnant wife Sumati. Years later Balwant who now calls himself Karamvir operates a court called 'Teesri Adalat' by sentencing wrong-doers to death in a judge and executor style. However he is unaware that Sumati is still alive and has given birth to twins Rajesh and Mahesh; while Mahesh was separated at birth and grows up with Inspector Ram Avtar and his wife - Rajesh is taking care of his mother as she loses her mental balance in the trauma. Rajesh and Mahesh do get to unite as the girls they are in love with are link to each other. After a few misjudgments of situations at hand Rajesh and Mahesh decides that they will bring Teesri Adalat to the court of law - at any cost.",Hindi
Veerana,1988,2h 15m,6.6,975,"A beautiful young girl, unfortunately possessed from her childhood by a vengeful spirit, wanders around lonely places to seduce and kill people, gradually becoming lost into a dark world of revenge and lust.",Hindi
Waaris,1988,2h 30m,6.8,183,"Multi-millionaire widower Kishan Singh prepare a will which states that his ancestral property is equally divided among his two sons, Gajjan and Dulla while the son of Gajjan, Shravan shall inherit the farm land. Enraged at not willing anything to his three sons, Thade, Dara and Chhote, Dulla confronts his father which leads to an argument leading to violence and Kishan is killed in the process. Dulla is then apprehended by the police and is jailed leaving his sons to be raised by Gajjan. Years later Shravan meets with a poor young woman, Paramjit alias Paro and both fall in love leading to marriage. Eventually Dulla's sentenced gets completed and he joins the family once again; shortly after he schemes with goons and have Shravan killed. With no one to claim their rights on Shravan's land this leaves the way clear for Dulla and his three sons to take control of this land but Paro will not permit this to happen and the only way she can prevent this is by giving birth to a heir so she confronts Gajjan to re-marry her younger sister, Shibo but there is a short-coming involved as Shibo is in love with a young man, Bhinder and wants to marry only him.",Hindi
Qayamat Se Qayamat Tak,1988,2h 42m,7.4,11K,"Despite knowing that their respective families are bitter enemies, Raj and Rashmi fall in love with each other and decide to elope.",Hindi
Pyar Ka Mandir,1988,2h 28m,6.0,136,"A man takes the blame of a crime in return for money to get his sister married and educate his brothers. After his release he goes to meet his brothers who are doing well in life, but they reject him.",Hindi
Paap Ki Duniya,1988,2h 48m,5.1,146,When a jailer hears that his sister is in love with a guy he is quite delighted to meet this guy only to find out that this guy is none other than a criminal called Pasha. Worst off the girl is married to Pasha and is pregnant with his child. The jailer is death-set against this and orders his sister to leave his house at once which she does; a few days later she returns with a new born baby boy which she hands over to jailer after passing away and then Pasha abducts the jailer son Ashok and brings him up in a crime world teaching him each and every trick of there universe. Years later Ashok is now known as Suraj a professional thief while Pasha's son grows up with the jailer to be police inspector Vijay. When the law nabs Suraj he is imprisoned and shortly after he is released he continue his trade mark with Pasha; Suraj meets and fall in love with Aarti who convinces him to give up crime which he does. When Suraj begins to earn money by the most honest means he finds himself arrested by inspector Vijay who also loves Aarti; while Pasha has also ordered Suraj's death.,Hindi
Doraemon: Nobita's Version of Saiyuki,1988,1h 30m,6.8,395,Nobita and his friends go an adventure to save the future from monsters that come out from doraemon's gadget.Will nobita be able to capture all of them and help a monk in his journey to the west?,Hindi
Om Dar-B-Dar,1988,1h 41m,7.1,551,A carefully constructed nonsense about a teenage boy named Om in a small Indian village.,Hindi
Shahenshah,1988,2h 55m,6.3,2.4K,"Vijay who is a corrupt officer by day, turns a vigilante by night in order to make the city crime free.",Hindi
Aryan,1988,3h 1m,7.4,379,Dispossessed Brahmin Mohanlal priest moves to Bombay where he finds a new calling in the hitman business.,Hindi
Superman,1987,2h 3m,3.7,386,"A young baby from the doomed planet Krypton is sent to Earth, where he is adopted by an elderly couple in India who name him Shekhar. After growing to an adult and learning about his origins and powers, he goes to the city in search of his school sweetheart, Gita, who has become a newspaper reporter. At the same time, Verma, Shekhar's rival for Gita's affection in their school days, has gone on to become a crime lord and general super-villain. Verma has hatched at plan to become rich by devastating part of India with natural disasters, then buying up all of the abandoned land. Will Superman/Shekhar be able to put a stop to Verma's evil plan? Will he win Gita's heart? Will he keep his double identity a secret?",Hindi
Aulad,1987,PG,5.9,158,"Believing his wife to be dead, a man lets a woman, who has lost her child, nurse and bring up his infant son - until he finds out that his wife is still alive, and wants the baby back at any cost.",Hindi
Inaam Dus Hazaar,1987,15,6.0,172,A gang of jewel thieves mistakes a salesman for a CID officer and frames him for murder. He then goes on the run to prove his innocence.,Hindi
Aaj,1987,1h 56m,4.7,301,The movie is about a man who is trying to find his missing sister.,Hindi
Uttar Dakshin,1987,2h 35m,4.2,141,"At the time of his mother's death, Raja comes to know that his father is still alive and living a wealthy life. Raja now befriends Shankran, his step-brother.",Hindi
Thikana,1987,2h 18m,5.8,102,Ravi Goel is an alcoholic lawyer who doesn't gets cases as he refuses to lie.His mother is fed up of his frequent drinking while his elder sister Shashi is everything to him who also runs the house.MP Rane is taped in a video killing a girl which is recorded by a cameraman Avinash.Shashi is in relationship with inspector Ranbir who convinces Ravi to fight back cases.Ravi meets a dancer Natasha who happens to be sister of Avinash and comes to him asking for help to fight Avinash's case whose missing since a long time.Ravi starts taking Avinash's case seriously and finds that he was killed by Rane and Ranbir.But before his death he had hidden the video tape in a secret place which could expose Rane.,Hindi
Hifazat,1987,2h 16m,5.0,172,"After Laxmi has had three still-births, her husband, Satyaprakash and his mother are afraid she will not be able to give any more births, and therefore there will be no one to carry the name of the family forward. So they propose that Satyaprakash gets married for a second time, to which Laxmi consents to, and as such he gets married to Rukmani. After this marriage Laxmi gets pregnant and gives birth to a son, Rajkumar, and shortly thereafter Rukmani too gives birth to a son, Lakhan. Rajkumar is abducted, and disappears from their lives. Thereafter, Satyaprakash is arrested for the murder of a contractor, and sentenced to prison. Rukmani and her brother, Buddiram, take over running the household, and inflict abuse on Laxmi. Years later, a young man appears claiming to be the missing son of Laxmi and Satyaprakash, and he attempts to bring some sense and honor for poor Laxmi. But this does not last for long, when Satyaprakash is released from prison, he recognizes the young man, as his fellow prison inmate, and much to the shock and dismay of Laxmi, asks him to leave the house, little knowing that he has now thrown open the door for Buddhiram to kill him and Laxmi.",Hindi
Kaash,1987,2h 20m,6.5,241,A Bollywood actor-turned-producer faces marital and financial challenges.,Hindi
Watan Ke Rakhwale,1987,2h 29m,5.5,151,"Suraj and Arun are brothers who share a special bond. Suraj, a jail warden and his wife Lakshmi have brought up Arun. Radha is an orphan from a wealthy family. Radha is set to marry Naresh, the son of Raj. Why does Arun interrupt the marriage? Why does Radha first deny and later acknowledge her marriage to Arun? Raj, a psychiatrist, Mahavir a prisoner, Naresh are intricately linked in a rape-murder that puts Mahavir in prison in the care of Suraj. Are they all pawns in a bigger game of a foreign power who aims to destabilize India? Yes they are. As the story unfolds, the relationships, motives and attitudes become clear. Is patriotism at stake? Will traitors prevail? What do the international saboteurs plan and how Raj, Mahavir, Arun, Suraj, Peter Fernandez (principal of the law college) become pawns on the chessboard of this movie, which translated in English means ""Keeper of Promises""",Hindi
Sindoor,1987,2h 42m,4.9,139,"Vijay forces his wife Laxmi to leave her house, suspecting an extra marital affair. Years later, Vijay and Laxmi come face to face and start meeting each other.",Hindi
Khudgarz,1987,2h 38m,6.0,347,"Sita Sinha watches as her young son, Bihari fights another young, wealthy lad, Amar for spattering dirt on his body using his car. Sita then intervene, separates both, take them to her house only to make them embrace each other which eventually blossoms into friendship. Years later both grows up and they continue their affections for each other; Amar then gets married to wealthy Jaya while Bihari gets married to a female laborer. But shortcomings develop between both Amar and Bihari when Amar's businessman dad, Brij Bhushan Saxena instigated by his business partner schemes to create misunderstandings between both over a plot of land. Bihari then blames Amar for all the up-heals and plots to destroy him.",Hindi
Marte Dam Tak,1987,2h 35m,4.9,143,"Marte Dam Tak a 1987 Indian Hindi film, directed by Mehul Kumar. The film stars Govinda, Raaj Kumar and Farha in lead roles. The film had musical score by Ravindra Jain.",Hindi
Permission,1987,2h 17m,8.4,1.7K,"Meeting accidentally five years after their divorce, a couple reflects on how their marriage collapsed despite transparency.",Hindi
Satyamev Jayate,1987,3h,6.4,123,"Inspector Arjun Singh is a tough cop whose known to loose his cool on criminals due to this has been transferred many a times and also accused of custodial death.Arjun arrests a criminal Chaman Bagga for killing Karamchand but soon is transferred from the case as he misbehaves with his senior officers who favor Bagga,Arjun reaches a new place where his neighbor is Pooja and her family whose brother Raju had died in his custody.After custodial death Arjun lost his love Vidya who married a lawyer Kaul and he found solace in prostitute Seema whose also friend of Pooja.Kaul is fighting Pooja's case for Raju and asks her to keep Bagga secretly in her house as he is prime witness in Raju's case.Kaul is working for corrupt politicians who wants to save Bagga and frame Arjun.",Hindi
Mr,1987,2h 59m,7.7,16K,"A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of India from the clutches of a megalomaniac.",Hindi
Dance Dance,1987,2h 33m,6.0,363,"Orphaned as kids, Radha and her brother Ramu make their living by dancing and singing in small functions. Ramu makes it big in the music world.",Hindi
Dak Bangla,1987,,5.2,108,A man moves in with his wife to a Mansion as a caretaker and finds out that not only some thugs have invaded that place but also a mummy walled in the dungeon with a dark past.,Hindi
Dacait,1987,2h 38m,6.5,344,"Arjun Yadav return from the city after completing his studies to get settled in his village with his family consisting of his mother Devi Chaudaran, his older brother Amrit and sister. Arjun finds out that Amrit and Thakur Bhanwar Singh does not get along quiet well and attempts to be a peace-maker between the two. One day situation takes a turn for the worse when Amrit is killed, Devi Chaudaran loses her senses, Arjun's sister is raped and he himself is beaten and tied to a tree. Arjun is then rescued by some sympathetic villagers and run off with his childhood friend Makan Malla in the deep ravines only to turn an outlaw whose only motive is to avenge the killings of his family members.",Hindi
Sansar,1987,U,6.9,218,"Din Dayal Sharma works as a Head Clerk and lives with his wife, Godavari; 3 sons Vijay, his wife Uma; Shiva and Vidyasagar; and a daughter named Rajni. Their standard of living is middle-class and all three males contribute to this lifestyle with Vijay contributing the most as he is a Chartered Accountant. When the time comes for Rajni's marriage, she refuses to marry Jagmohan's son, and wants to marry a Christian by the name of Peter Fernandes. The marriage takes place, and she re-locates to the Fernandes' house. Shiva ends up getting married to Jagmohan's daughter, Vasanti, and the entire family is overjoyed to learn that Uma is expecting. Uma goes to live with her parents during the rest of her pregnancy, and several months when she returns home she finds that nothing is the same anymore. Vasanti has left Shiva; Rajni has separated from Peter; Vidyasagar has failed in his exams; Vijay and Din Dayal are not speaking with each other and have drawn a line, separating Vijay and the rest of the family. Watch what Uma does to reconcile the family, who are totally unaware of her ulterior motive of re-uniting everyone.",Hindi
Aag Hi Aag,1987,2h 50m,4.9,115,"The story of an army officer, forced by circumstances to become a dacoit, then repenting and transforming to be a good man and finally facing a challenge to save his family and facing someone who is chasing him for a motive.",Hindi
Hukumat,1987,2h 10m,6.2,176,"A tough cop is posted to a small town where an evil businessman reigns like a tyrant. When the cop recognizes the businessman as his father's murderer, it becomes personal.",Hindi
Doraemon: Nobita to Ryû no kishi,1987,1h 30m,6.7,371,Origin of species that have evolved differently from human beings.,Hindi
Nazrana,1987,15,5.0,117,"Rajat and Mukta meet each other and fall in love. They get married and live in harmony for a few years. Then Mukta starts suspecting that Rajat is having an affair with Sheetal Puri, and then misunderstandings and distrust start, and snowball. Finally, they decide to separate and go their own ways. After their separation, Mukta finds out that she is pregnant, and would like Rajat to see his child, and hopes for a reconciliation. It is then she meets Sheetal, who tells her in no uncertain terms, that Rajat and she belong together, and Rajat has no intention of coming back to Mukta.",Hindi
Loha,1987,2h 33m,5.9,277,"Honest and diligent Police Inspector Amar lives a middle-classed lifestyle in Bombay. In his attempt to arrest bandit Sher Singh, he and Inspector Dayal are attacked, Amar survives, but Dayal gets his legs crushed under a truck and becomes wheelchair-bound. Subsequently, Amar arrests local politician, Jagannath Prasad, who not only gets released without getting charged but Amar gets reprimanded, and decides to resign. Shortly thereafter, Sher Singh hijacks a bus and holds the passengers in exchange for 25 of his jailed associates. Dayal's granddaughter, Seema, is amongst them, and Dayal asks Amar for assistance. Amar, along with ex-convict, Qasim Ali, and Karan, a drug-dealer, does manage to rescue them but differences crop up between the trio and they part ways. Then Amar finds out that Qasim and Karan have masterminded a plan to facilitate the escape of the 25 convicts, and decides to confront them.",Hindi
Jalwa,1987,2h 14m,6.6,188,"Kapil's (Naseeruddin Shah) younger brother, Buntu, dies as a result of a drug overdose. Kapil vows to put an end to drugs and drug-dealers, by joining the police. He soon attains the title of C.I.D. Inspector. He lives in Bombay with his mom (Kamini Kaushal). One day his friend from Goa, Albert Pinto (Pankaj Kapoor) is killed in front of him. He vows to avenge his death, but the local police will not permit to do so, and they assign this incident to another inspector. Frustrated, Kapil decides to travel to Goa. Once in Goa, he finds out that he has no powers as a policeman, and the Goa police regard him as a nuisance. He attempts to uncover Albert's death, with the help of Jojo (Archana Puran Singh), but instead gets into brawls, is arrested, and is escorted by the local police, back to Bombay. But Kapil escapes from police custody, and soon he is on the run, not only the police, but local goons also, who will not hesitate to kill him instantly.",Hindi
Naseeb Apna Apna,1986,2h 20m,5.4,206,"A domineering man marries his son to a simple village girl. But when she arrives at his house in the city, she discovers that he is already married to an attractive city woman.",Hindi
Baat Ban Jaye,1986,2h 28m,6.4,194,"Mr. Singh lives a wealthy lifestyle in a mansion named 'Ashiana' on 10th Road, Juhu, Bombay, with his only relative, a niece by the name of Nisha, who is unmarried and runs the family's business that faces strong opposition from Khanna Group of Industries. Singh would like to see her get married but she hates wealthy men. So her uncle finds a poor man, Ajay Srivastav, but subsequently finds out that Ajay is already married and also has 3 daughters; then he decides to get Nisha married to a TV repairman, Yeshwant Bhosle, who ends up being a multi-millionaire after his invention is marketed; then he wants her to get married to Viju Guide, a Hyderabad-based Tourist Guide, who finds buried treasure and also ends up a multi-millionaire; then he wants her to get married to a motor mechanic, Prakash, who, in turn, ends up being the only son of wealthy builder, Jayant Amar Nath, and ends up getting married to his sweetheart and neighbor, Rosy. Finally Nisha meets her ideal match in Rukhtapur-based Suraj Singh, a wedding singer/dancer, and gets married to him - not realizing that Suraj is not who he claims to be and she is merely a pawn in a charade that has been created especially to pull wool over her eyes.",Hindi
Ghar Sansar,1986,,5.2,100,"Girdharilal (Kader Khan) is a very rich and wealthy man. He has made a number of enemies. One of his enemies asks a beggar to masquerade as Girdharilal for a price, to which the beggar agrees. The switch takes place, with the real Girdharilal being abducted. A series of hilarious and comical events take turn as the beggar attempts to pretend to be a rich, left-handed tycoon.",Hindi
New Delhi Times,1986,2h 3m,7.9,206,"When a politician is killed, a journalist discovers that a member of parliament had the man assassinated. As his editor digs deeper, the complicity of higher-placed politicians comes to the surface, which leads to riots in one town and an attempt to suppress his story.",Hindi
Massey Sahib,1986,1h 58m,7.6,147,Francis Massey works as a clerk in deputy commissioner's office in the colonial administration of British India. He aspires to become one of the rulers and does everything he can to impress his boss.,Hindi
Anubhav,1986,15,6.8,206,"Based in a small village, Gauri, who lives with her widowed mother, Ganga, has matured and her marriage is arranged with Bombay-based Ramesh. When Ramesh comes to wed her, he is shocked to find her playing Kabaddi and wrestling with her younger brother, Dhanu. He attempts to get intimate with her but fails. Hoping that things will change for the better after the marriage, he does marry her, but she is unable to reciprocate his affections. Shortly thereafter, her life will undergo many changes after she witnesses her husband in the arms of a more mature, taller, drop-dead gorgeous, and well endowed village belle, Bijli.",Hindi
Tahkhana,1986,1h 57m,5.5,250,"A dying Thakur Surjeet Singh bequeaths the entire estate to his son, Raghuvir, disowning the other, Dhurjan, the family's black sheep, who also indulges in black magic. The latter swears to use magical powers to usurp the estate, and even arranges the abduction of Raghuvir's daughters, Sapna and Aarti. Mangal and his men manage to apprehend Dhurjan, imprison him in a dungeon, and rescue Aarti. However, they are unable to locate Sapna, and Raghuvir gets killed. Before dying, he informs Mangal that Sapna has one of two pieces of a locket around her neck, while the other is on Aarti's, and when joined together will reveal the location of a treasure buried in a dungeon. 20 years later, Aarti and her boyfriend, Vijay, along with several others, will attempt to unearth this treasure - not realizing that they not only face betrayal from one of their own, but will also release and fall prey to an ageless and indestructible entity.",Hindi
Nagina,1986,2h 17m,6.4,1.2K,"The film revolves around Rajni, a shape-shifting cobra who marries a civilian to avenge the death of her spouse at the hands of an evil saint.",Hindi
Samundar,1986,2h 24m,5.5,181,Honest police officer Surajbhan would like Rajeshwar Nath to provide all the material documents that can prove Raiszada Narsingh is a hardcore criminal. When Raiszada learns of this through his henchman Hansukh he kills Surajbhan and frames Rajeshwar Nath for this killing. Years later Surajbhan's son Ajit grows up with Raiszada and is willing to locate Rajeshwar Nath who now calls himself Girija Shankar so that he can avenge the murder of his dad.,Hindi
Naam,1986,2h 57m,7.4,1.1K,"Follows the story of Vicky, who gets entrapped in a criminal plot after he leaves his country for work.",Hindi
Ek Chadar Maili Si,1986,2h 13m,7.1,148,"Rani, a loving wife, lives a peaceful life with her husband Trilok, a horse carriage driver. However, Rani's life takes a new turn when Trilok is killed.",Hindi
Karma,1986,3h 13m,7.2,2.4K,"The BSO is a British oriented group who wants to take control of India. When senior police inspector Vishwa Pratap Singh arrests there leader Dr. Michael Dang the authorities blast the jail Dang is logged in killing huge numbers of inmates including two of Vishwa's sons and his daughter-in-law; with Dang escaping in the process. Vishwa who now calls himself Dada Thakur is determine to put an end to Dang and his PSO gang which prompts him to recruit three prisoners who are soon to be hang namely Baiju Thakur, Johnny and former terrorist Khairuddin Kisti. Soon Dada Thakur will come to realize that these prisoners are least interested in his mission as they planned their own agenda.",Hindi
Allah-Rakha,1986,2h 40m,5.2,179,"Karim Khan is employed as driver for a gangster named Don, who has an accident with his car, and asks Karim to take the blame for it for a hefty sum of cash, which Karim does so, and is imprisoned. But Don does not fulfill his promise, and as a result, Karim's wife, Razia, and new-born son are left destitute. Razia complains to Police Inspector Anwar, who arrests Don and holds him in prison, pending his trial in court. When Anwar finds out that his new-born son, Iqbal, is in need of a pace-maker, which he is unable to afford, he makes a compromise with Don, who lets him have one. Iqbal undergoes surgery and a pace-maker number 786, considered lucky in Islamic faith, is attached to his tiny heart. But Don and a prostitute by the name of Banoo have other plans for Anwar, which they carry out successfully, and abduct young Iqbal, who ends up growing on the streets as an orphan named Allah Rakha. Several years later, Allah Rakha has grown up, and is friendly with a prostitute named Rani, who happens to be the daughter of Banoo. When News-reporter decides to do TV report on Rani's life, she does not realize that she has opened up a Pandora's box, that will bring the past back to life, and expose her life to danger, deceit, and possible death.",Hindi
Ankush,1986,2h 29m,7.6,466,"Four unemployed young men befriend their new neighbors, but soon tragedy strikes and everything is shattered.",Hindi
Gandhinagar 2nd Street,1986,2h 17m,7.7,891,"Sethu is an unemployed youth, struggling to get a job. However, when a spate of robberies take place in the neighborhood, his friend poses him as a Nepali to get a job as a security guard.",Hindi
Amrit,1986,2h 17m,7.0,228,"Widowed Amrit and Kamala are ill-treated by their respective children and find solace in each other's company. As their bond strengthens, the two decide to separate from their families and spend their lives together.",Hindi
Peechha Karro,1986,1h 54m,6.7,171,Hari and Giri are 2 detectives who suspect Brigadier of leaking defence secrets to outsiders who in turn is on an undercover mission to expose Boss number 1 who is a terrorist.,Hindi
